update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee5_full,48,144,48,-0.755899010949435,0.14234227029319554,0.020851796492934227,-0.09886623173952103,3.352684497833252,0.010157623328268528,0.2083333283662796,0.26509684324264526,0.5862495303153992,0.8604166666666666,3.3797152042388916,3.350740432739258,3.3214542865753174,0.9166666666666666,0.09860132971832694,0.95,0.8,1.0,1.0,"[12, 15, 22]",0.8333333333333334,3,0.5660857389596289,3.3797640800476074,3.3554176688194275,3.3205366134643555,3,2,3,0.2914326667926014,0.5660857389596288,0.8575184057522302,observation-dependent adaptive,5,True,0.9166666666666666
2,ieee5_full,48,144,96,-0.011683671986427578,0.1272159913629322,0.0062974910251796246,-0.06478362530469894,3.3444788455963135,0.007620238699018955,0.02777777798473835,0.429529070854187,0.07660561054944992,0.8895833333333334,3.366941213607788,3.3452489376068115,3.3164427280426025,0.9166666666666666,0.09860132971832694,0.95,0.8,1.0,1.0,"[12, 15, 22]",0.9166666666666666,2,0.2868359830561607,3.3670308589935303,3.355185548464457,3.3203921914100647,2,1,1,0.12770744098245737,0.17131145296283637,0.29901889394529374,observation-dependent adaptive,5,True,0.9166666666666666
3,ieee5_full,48,144,144,0.08686849124815728,0.13876394530219513,0.008792583830654621,-0.04408326372504234,3.340792417526245,-0.003756278194487095,0.0,0.4346316158771515,0.03546631336212158,0.8291666666666666,3.3632850646972656,3.3407938480377197,3.3159825801849365,,,,,,,,,,,,,,,,,,,,,,,
4,ieee5_full,48,144,192,-0.07347610146340397,0.12883526592193814,0.008472584187984467,-0.04309835284948349,3.335458755493164,-0.010875304229557514,0.0,0.5015597939491272,0.07573825865983963,0.86875,3.3504602909088135,3.3351681232452393,3.3146886825561523,0.9250000000000002,0.09242113755341179,1.0,0.8,1.0,1.0,"[12, 15, 4]",1.0,1,-0.0,3.3506076335906982,3.3476359844207764,3.320482055346171,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9166666666666666
5,ieee5_full,48,144,240,0.038084302398661764,0.14938698405422285,0.01119881309568882,-0.03881494700908661,3.325399398803711,0.018626445904374123,0.02777777798473835,0.43208810687065125,0.1196310892701149,0.8416666666666668,3.340372323989868,3.3255062103271484,3.3053524494171143,,,,,,,,,,,,,,,,,,,,,,,
6,ieee5_full,48,144,288,-0.015811780690550812,0.11045043980771163,0.006477271672338247,-0.03253907337784767,3.3138294219970703,0.006067249458283186,0.02777777798473835,0.43755191564559937,0.11268883943557739,0.8729166666666668,3.3333828449249268,3.3101518154144287,3.290140151977539,0.9416666666666668,0.07592027982620247,1.0,0.81,1.0,1.0,"[12, 19, 15]",1.0,1,-0.0,3.3336122035980225,3.30332487821579,3.288063128789266,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9166666666666666
7,ieee5_full,48,144,336,-0.007446027015414511,0.11778255289808552,0.006739846896380186,-0.030254483222961426,3.303253412246704,0.006664204876869917,0.0069444444961845875,0.43363064527511597,0.0925978273153305,0.8562500000000001,3.3201792240142822,3.3010733127593994,3.283008575439453,,,,,,,,,,,,,,,,,,,,,,,
8,ieee5_full,48,144,384,0.0031893495960036867,0.10376951077928238,0.00522589823231101,-0.028947846964001656,3.2958316802978516,0.0017620788421481848,0.0,0.473626047372818,0.04523681849241257,0.8791666666666668,3.300748586654663,3.301010847091675,3.280944585800171,0.8333333333333335,0.09428090415820635,0.8,0.8,0.9,1.0,"[12, 18, 15]",0.75,2,0.5623351446188083,3.3011202812194824,3.29084704319636,3.271946609020233,2,1,2,0.0,0.44681061452548404,0.44681061452548404,observation-dependent adaptive,5,True,0.8333333333333335
9,ieee5_full,48,144,432,0.04273427845451566,0.11197827104344621,0.006379249505698681,-0.02355007641017437,3.2877137660980225,0.005480540916323662,0.0,0.4555644989013672,0.06050416827201843,0.8270833333333334,3.296747922897339,3.288954496383667,3.275662422180176,,,,,,,,,,,,,,,,,,,,,,,
10,ieee5_full,48,144,480,-0.06026657401548493,0.11272639834427965,0.006869641598314047,-0.029464609920978546,3.285926342010498,0.004290950018912554,0.0,0.4557470679283142,0.10166718065738678,0.8666666666666667,3.3068087100982666,3.278876304626465,3.2680375576019287,0.9250000000000002,0.08291561975888498,0.95,0.8,1.0,1.0,"[12, 18, 13]",1.0,1,-0.0,3.3071982860565186,3.2478314439455667,3.258753697077433,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8333333333333335
11,ieee5_full,48,144,528,0.038248406405183996,0.10346209299214917,0.004846715368330479,-0.04422616958618164,3.2846643924713135,-0.0008077786769717932,0.013888888992369175,0.5693214535713196,0.05049315094947815,0.8833333333333333,3.3134829998016357,3.2767021656036377,3.2623870372772217,,,,,,,,,,,,,,,,,,,,,,,
12,ieee5_full,48,144,576,-0.016429965782496662,0.10128470515047672,0.00495464913547039,-0.02347501367330551,3.280885696411133,-0.0019574861507862806,0.02777777798473835,0.45116567611694336,0.01436547189950943,0.8645833333333334,3.3089849948883057,3.2718346118927,3.2605388164520264,0.8750000000000001,0.11636866703140784,0.9,0.71,1.0,1.0,"[12, 18, 1]",1.0,1,-0.0,3.3093252182006836,3.2343526681264243,3.243759512901306,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.8333333333333335
13,ieee5_full,48,144,624,0.011498043585585213,0.10233497664237617,0.005198228172957897,-0.015478132292628288,3.276555299758911,0.004323300439864397,0.0,0.3941907286643982,0.01313821692019701,0.8624999999999999,3.306344747543335,3.2630722522735596,3.2602264881134033,,,,,,,,,,,,,,,,,,,,,,,
