system,stage,configuration,seed,epochs,best_epoch,final_epoch,best_validation_u_ctrl,final_validation_u_ctrl,best_validation_safety,best_checkpoint,entropy_schedule,baseline,advantage_normalization,credit,learning_rate,max_potential_telescope_error,gradient_reached_policy,initial_policy_entropy,quarter_policy_entropy,final_policy_entropy,initial_entropy_t1,initial_entropy_t2,initial_entropy_t3,final_entropy_t1,final_entropy_t2,final_entropy_t3,mean_gradient_norm,max_gradient_norm,total_clipping_events,mean_advantage_mean,mean_advantage_std,mean_terminal_cost_unique_count,mean_terminal_cost_modal_fraction,mean_terminal_cost_tied_fraction
ieee9,credit_assignment,C0_terminal,101,500,25,499,0.9700000000000001,0.9766666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C0_terminal/seed_101/best_checkpoint.pt,constant_small,ema,False,terminal,0.001,0.0,True,3.967862367630005,3.922321319580078,3.826970100402832,3.9877495765686035,3.967437744140625,3.948399543762207,3.9830398559570312,3.7340352535247803,3.7638349533081055,0.055390687949265924,0.5287370681762695,0,-0.0001743578438300145,0.050363350224131,1.738,0.8950576923076924,0.9194038461538462
ieee9,credit_assignment,C0_terminal,202,500,30,499,0.9633333333333333,0.98,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C0_terminal/seed_202/best_checkpoint.pt,constant_small,ema,False,terminal,0.001,0.0,True,3.9681012630462646,3.9154319763183594,3.801093816757202,3.9877564907073975,3.967790365219116,3.9487574100494385,3.9826841354370117,3.707542896270752,3.7130556106567383,0.055709364254251485,0.5102478861808777,0,-0.00016800797835034805,0.050141184238726405,1.7332307692307694,0.8947307692307693,0.9208846153846155
ieee9,credit_assignment,C0_terminal,303,500,45,499,0.9700000000000001,0.9933333333333333,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C0_terminal/seed_303/best_checkpoint.pt,constant_small,ema,False,terminal,0.001,0.0,True,3.967799186706543,3.7231059074401855,3.7355546951293945,3.9874377250671387,3.9674947261810303,3.948465585708618,3.9816181659698486,3.5577237606048584,3.6673223972320557,0.05820100496270551,0.46639284491539,0,-0.00016858345135873027,0.050822036085782715,1.7516923076923079,0.8933269230769231,0.9176153846153846
ieee9,credit_assignment,C0_terminal,404,500,0,499,0.9700000000000001,0.98,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C0_terminal/seed_404/best_checkpoint.pt,constant_small,ema,False,terminal,0.001,0.0,True,3.9685020446777344,3.827587127685547,3.6158299446105957,3.988006114959717,3.9682726860046387,3.9492263793945312,3.9810991287231445,3.3586108684539795,3.507779836654663,0.057962081513331765,0.5106407403945923,0,-0.00016941721182142652,0.05050997317429684,1.7350769230769234,0.894673076923077,0.9203269230769231
ieee9,credit_assignment,C0_terminal,505,500,5,499,0.9633333333333333,0.9866666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C0_terminal/seed_505/best_checkpoint.pt,constant_small,ema,False,terminal,0.001,0.0,True,3.9681482315063477,3.795719623565674,3.8245270252227783,3.9874842166900635,3.9680023193359375,3.948958396911621,3.98134708404541,3.6953587532043457,3.796875,0.05552171863826851,0.4935130774974823,0,-0.0001665645098087051,0.05099148562810375,1.7544615384615385,0.8926346153846153,0.9178076923076923
ieee9,credit_assignment,C1_potential,101,500,15,499,0.9700000000000001,0.98,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C1_potential/seed_101/best_checkpoint.pt,constant_small,ema,False,potential,0.001,0.0,True,3.9680981636047363,3.925638437271118,3.3178138732910156,3.987726926803589,3.9678053855895996,3.948761463165283,3.98319411277771,2.8246240615844727,3.145623207092285,0.0916054721589272,0.4018556475639343,0,8.197371946164658e-06,0.06511987276119416,1.7596923076923079,0.8917884615384616,0.9171730769230769
ieee9,credit_assignment,C1_potential,202,500,0,499,0.9700000000000001,0.98,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C1_potential/seed_202/best_checkpoint.pt,constant_small,ema,False,potential,0.001,0.0,True,3.9686193466186523,3.8388917446136475,3.5535802841186523,3.987769842147827,3.968566417694092,3.949521064758301,3.9816830158233643,3.2388997077941895,3.440157175064087,0.10250745174833216,0.4728390574455261,0,1.012960698496885e-05,0.0648605714226895,1.7447692307692308,0.8929423076923076,0.9197115384615385
ieee9,credit_assignment,C1_potential,303,500,35,499,0.9700000000000001,0.9866666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C1_potential/seed_303/best_checkpoint.pt,constant_small,ema,False,potential,0.001,0.0,True,3.967691659927368,3.8558733463287354,3.6098921298980713,3.98736310005188,3.9673826694488525,3.9483282566070557,3.9817004203796387,3.2683603763580322,3.5796163082122803,0.10239604665725849,0.4694889187812805,0,7.92942624518718e-06,0.06479259493169388,1.7618461538461538,0.8917884615384617,0.9168653846153847
ieee9,credit_assignment,C1_potential,404,500,205,499,0.9700000000000001,0.9766666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C1_potential/seed_404/best_checkpoint.pt,constant_small,ema,False,potential,0.001,0.0,True,3.9685778617858887,3.878143310546875,3.683947801589966,3.987985372543335,3.9683890342712402,3.949359655380249,3.9813194274902344,3.4309134483337402,3.6396102905273438,0.08937215289946358,0.29223036766052246,0,9.652397996616433e-06,0.06514569434739642,1.7583076923076923,0.8916346153846155,0.9178653846153848
ieee9,credit_assignment,C1_potential,505,500,15,499,0.9633333333333333,0.9700000000000001,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee9_T3/credit_assignment/C1_potential/seed_505/best_checkpoint.pt,constant_small,ema,False,potential,0.001,0.0,True,3.968052387237549,3.8409581184387207,3.7990283966064453,3.987515687942505,3.9678425788879395,3.9487996101379395,3.9802892208099365,3.6625161170959473,3.754279613494873,0.08227620733056504,0.3437718152999878,0,5.985635994121084e-06,0.06596781781289102,1.7898461538461539,0.8868846153846154,0.9145192307692308
