system,stage,configuration,seed,epochs,best_epoch,final_epoch,best_validation_u_ctrl,final_validation_u_ctrl,best_validation_safety,best_checkpoint,entropy_schedule,baseline,advantage_normalization,credit,learning_rate,max_potential_telescope_error,gradient_reached_policy,initial_policy_entropy,quarter_policy_entropy,final_policy_entropy,initial_entropy_t1,initial_entropy_t2,initial_entropy_t3,final_entropy_t1,final_entropy_t2,final_entropy_t3,mean_gradient_norm,max_gradient_norm,total_clipping_events,mean_advantage_mean,mean_advantage_std,mean_terminal_cost_unique_count,mean_terminal_cost_modal_fraction,mean_terminal_cost_tied_fraction
ieee5,variance_reduction,R0_current,101,500,60,499,0.8250000000000001,0.9083333333333333,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R0_current/seed_101/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3650646209716797,3.2834129333496094,2.7679383754730225,3.40008282661438,3.3650858402252197,3.330024480819702,3.3966517448425293,2.247445583343506,2.659717559814453,0.16122498103670244,0.7897364497184753,0,-0.0003015684897139425,0.1210651170205997,3.757142857142857,0.44932142857142854,0.7665
ieee5,variance_reduction,R0_current,202,500,160,499,0.8416666666666668,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R0_current/seed_202/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3645951747894287,3.247319459915161,3.157892942428589,3.399895668029785,3.364454507827759,3.329434394836426,3.3971171379089355,3.009169578552246,3.0673940181732178,0.1623929143236684,0.6982489824295044,0,-0.00030331919128964447,0.12124238886736172,3.7194285714285718,0.45128571428571435,0.7752142857142857
ieee5,variance_reduction,R0_current,303,500,325,499,0.85,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R0_current/seed_303/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3649749755859375,3.3348560333251953,3.0625226497650146,3.399794340133667,3.365110158920288,3.330019474029541,3.396425724029541,2.8829264640808105,2.908216953277588,0.1447495021236661,0.6329668760299683,0,-0.00028044428985616004,0.12094321423472856,3.6834285714285717,0.4566785714285714,0.7759285714285713
ieee5,variance_reduction,R0_current,404,500,25,499,0.8500000000000001,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R0_current/seed_404/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.3650355339050293,3.3144750595092773,1.316491723060608,3.39981746673584,3.365176200866699,3.330113649368286,3.39548659324646,0.058217067271471024,0.4957718849182129,0.16167199354778444,1.2753468751907349,1,-0.00031005288804089137,0.12143452198838704,3.741714285714286,0.44992857142857146,0.7664285714285715
ieee5,variance_reduction,R0_current,505,500,70,499,0.8583333333333334,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R0_current/seed_505/best_checkpoint.pt,current,ema,False,terminal,0.001,0.0,True,3.364713668823242,3.3608100414276123,1.2715848684310913,3.4000487327575684,3.3645994663238525,3.3294928073883057,3.3974764347076416,0.3342941403388977,0.082984060049057,0.14862651980295777,0.6732418537139893,0,-0.0002837398011125307,0.12006229518143405,3.732,0.453,0.7651785714285715
ieee5,variance_reduction,R1_advantage_normalization,101,500,65,499,0.8666666666666668,0.8750000000000001,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R1_advantage_normalization/seed_101/best_checkpoint.pt,current,ema,True,terminal,0.001,0.0,True,3.365309953689575,1.1603267192840576,1.132014513015747,3.400095224380493,3.365447521209717,3.330387592315674,3.393646240234375,0.00011734042345779017,0.0022809288930147886,0.8081171775791529,13.439040184020996,648,2.2053220443642487e-09,0.9999998966792825,3.7665714285714285,0.4440357142857143,0.7667857142857143
ieee5,variance_reduction,R1_advantage_normalization,202,500,150,499,0.8583333333333334,0.8666666666666668,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R1_advantage_normalization/seed_202/best_checkpoint.pt,current,ema,True,terminal,0.001,0.0,True,3.3648393154144287,2.144829273223877,1.1394339799880981,3.399888515472412,3.3648295402526855,3.3297998905181885,3.396928310394287,0.005652198567986488,0.015721093863248825,1.3141915294400286,7.774266719818115,1977,1.971905686122437e-09,0.999999900255231,3.7465714285714284,0.4471428571428571,0.7719642857142858
ieee5,variance_reduction,R1_advantage_normalization,303,500,145,499,0.8666666666666667,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R1_advantage_normalization/seed_303/best_checkpoint.pt,current,ema,True,terminal,0.001,0.0,True,3.364673614501953,1.4778707027435303,1.1342192888259888,3.3997952938079834,3.3646559715270996,3.3295705318450928,3.396099328994751,0.0034073670394718647,0.003150611650198698,0.8190822233906282,9.710786819458008,777,2.44395533417656e-09,0.9999998932240909,3.7508571428571424,0.4485,0.76925
ieee5,variance_reduction,R1_advantage_normalization,404,500,20,499,0.8250000000000001,0.8500000000000001,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R1_advantage_normalization/seed_404/best_checkpoint.pt,current,ema,True,terminal,0.001,0.0,True,3.364971399307251,3.1463398933410645,1.1666162014007568,3.399827003479004,3.365076780319214,3.3300106525421143,3.395322322845459,0.10163633525371552,0.0028900387696921825,1.5094947641603649,7.976954936981201,2081,1.2849216528383504e-09,0.9999999017513642,3.7648571428571427,0.44521428571428573,0.7646785714285713
ieee5,variance_reduction,R1_advantage_normalization,505,500,390,499,0.8500000000000001,0.8833333333333334,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R1_advantage_normalization/seed_505/best_checkpoint.pt,current,ema,True,terminal,0.001,0.0,True,3.3648815155029297,1.648366093635559,1.1332941055297852,3.4000725746154785,3.3648266792297363,3.329744577407837,3.3969883918762207,0.0005013518966734409,0.002392734633758664,0.8904402399957179,9.001195907592773,894,1.3300256726394696e-09,0.9999999024120209,3.7991428571428574,0.43735714285714283,0.7614642857142857
ieee5,variance_reduction,R2_batch_baseline,101,500,55,499,0.8416666666666668,0.8833333333333333,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R2_batch_baseline/seed_101/best_checkpoint.pt,current,batch,False,terminal,0.001,0.0,True,3.365304470062256,3.298801898956299,2.590000629425049,3.4001011848449707,3.3654353618621826,3.3303773403167725,3.3963587284088135,1.9516847133636475,2.4219586849212646,0.1693725553630585,0.8508403897285461,0,2.0173879770132223e-10,0.12233586609403514,3.7434285714285718,0.44821428571428573,0.7706785714285714
ieee5,variance_reduction,R2_batch_baseline,202,500,0,499,0.8333333333333335,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R2_batch_baseline/seed_202/best_checkpoint.pt,current,batch,False,terminal,0.001,0.0,True,3.365065813064575,3.3451123237609863,1.8673608303070068,3.3999361991882324,3.3651468753814697,3.3301146030426025,3.3979554176330566,0.8375715017318726,1.3665556907653809,0.13943516517260912,1.0929805040359497,1,6.877459012545071e-11,0.12272693679808738,3.7114285714285717,0.4515,0.7765
ieee5,variance_reduction,R2_batch_baseline,303,500,295,499,0.8416666666666668,0.8916666666666666,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R2_batch_baseline/seed_303/best_checkpoint.pt,current,batch,False,terminal,0.001,0.0,True,3.364581823348999,3.2933130264282227,3.302875280380249,3.3998236656188965,3.3645052909851074,3.3294172286987305,3.3974545001983643,3.2643301486968994,3.2468419075012207,0.1412829766790632,0.4922000765800476,0,-2.773908468393179e-10,0.12119737640212182,3.698,0.4546428571428571,0.7739285714285714
ieee5,variance_reduction,R2_batch_baseline,404,500,25,499,0.8416666666666668,0.8666666666666668,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R2_batch_baseline/seed_404/best_checkpoint.pt,current,batch,False,terminal,0.001,0.0,True,3.3651585578918457,3.3267643451690674,1.4067623615264893,3.399855613708496,3.365342378616333,3.330277681350708,3.395261287689209,0.5046446323394775,0.32038065791130066,0.1709129864579466,0.7275528907775879,0,-8.023702181302585e-11,0.12178039918743876,3.7385714285714284,0.4476428571428571,0.7701428571428571
ieee5,variance_reduction,R2_batch_baseline,505,500,35,499,0.8583333333333334,0.8666666666666667,1.0,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_rl_training_improvement/ieee5_T3/variance_reduction/R2_batch_baseline/seed_505/best_checkpoint.pt,current,batch,False,terminal,0.001,0.0,True,3.364809036254883,3.353025436401367,1.3502875566482544,3.4000437259674072,3.364734649658203,3.3296496868133545,3.397322416305542,0.3841231167316437,0.2694161534309387,0.14853023581893648,0.9202664494514465,0,-1.5588907095102148e-10,0.12073705756473589,3.7277142857142858,0.45296428571428565,0.7645714285714286
