theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[13, 18]","[2.458634680164457, 4.660853069074917]",0.96,0.0,0.96,1.04,True,True,False,True,4.948483499689389,-0.42680762448357806,True,True,1.9868010887580183,0.6664416012639837,4.0666614165527355e-14,1.8035607560949554e-07,4.0666614165527355e-14,0.12761836010031402,0,0,0,nan,nan,0.0010095395846292377,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
1,1,"[13, 18]","[1.784853572971937, 9.647212475590045]",0.96,0.0,0.96,1.04,True,True,False,True,15.06317443770887,-0.5043849788728458,True,True,1.0000000000002547,0.9999999999998725,0.0,0.0,0.0,0.11865047388710082,0,0,0,nan,nan,0.001039795926772058,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
2,2,"[13, 18]","[2.4945090478273, 6.697728974849527]",0.96,0.0,0.96,1.04,True,True,False,True,8.622302454139804,-0.5151064628816457,True,True,1.000000000016207,0.9999999999918965,3.772560873029274e-66,1.7372532050404798e-33,3.772560873029274e-66,0.12710649310611188,0,0,0,nan,nan,0.001119237975217402,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
3,3,"[13, 18]","[2.9365632256361307, 5.968446534077408]",0.96,0.0,0.96,1.04,True,True,False,True,7.32352426611295,-0.46794511935115835,True,True,1.0000000000004783,0.9999999999997609,1.912833612611538e-13,3.911862587168502e-07,1.912833612611538e-13,0.12419255799613893,0,0,0,nan,nan,0.0011058420641347766,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
4,4,"[13, 18]","[2.420279282726794, 10.21625032368906]",0.96,0.32,0.6399999999999999,1.04,True,True,False,True,14.43790030192405,-0.6303425473388712,True,True,1.0,1.0,0.0,0.0,-0.32,0.12855648598633707,0,0,0,nan,nan,0.0009156670421361923,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
5,5,"[13, 18]","[1.8532914661959203, 5.073893606096594]",0.96,0.0,0.96,1.04,True,True,False,True,7.781657682970818,-0.4708646840928323,True,True,1.7809463274816484,0.7179994417767255,4.4363923335879424e-10,5.983487535767785e-06,4.4363923335879424e-10,0.12454662285745144,0,0,0,nan,nan,0.0011299970792606473,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
6,6,"[13, 18]","[1.1732134443789086, 7.607514046224372]",0.96,0.0,0.96,1.04,True,True,False,True,8.961007936194259,-0.4384225536353909,True,True,1.0000715994311242,0.9999642015659658,2.0918043657919436e-226,1.2936164395343602e-113,2.0918043657919436e-226,0.1291700629517436,0,0,0,nan,nan,0.0010356234852224588,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
7,7,"[13, 18]","[2.3215435755980014, 3.767423385954533]",1.12,0.0,1.12,1.04,True,False,True,True,6.560092299319013,-0.4781087923505804,True,True,3.1038766029787994,0.3850756722282198,0.05979108671706981,0.06036594687253397,0.05979108671706981,0.12552451784722507,0,0,0,nan,nan,0.0008640815503895283,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
8,8,"[13, 18]","[1.5837619541499304, 3.268014278340663]",0.96,0.0,0.96,1.04,True,True,False,True,5.6780854999992,-0.4176225122407299,True,True,2.8820303975546144,0.4897643199995822,1.8403194775915627e-22,7.97912376306275e-12,1.8403194775915627e-22,0.12679643603041768,0,0,0,nan,nan,0.001088069868274033,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
9,9,"[13, 18]","[1.9359858019005478, 6.556247383290257]",0.96,0.0,0.96,1.04,True,True,False,True,7.851977293620081,-0.44642008555349066,True,True,1.0000232180176845,0.9999883911325044,1.9460734390062545e-61,3.945704944879944e-31,1.9460734390062545e-61,0.12239937693811953,0,0,0,nan,nan,0.001258497009985149,5b4c2191621b1bbc,0.95,0.9,0.05,True,2a35b5c585aa23b1,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee9_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),dad
