split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,1,1,14 19 28,0.8,1.000000 0.900000 0.900000 0.800000,0.000000 0.000000 -0.800000
confirmation,2,2,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,3,3,14 19 28,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,4,4,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,5,5,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,6,6,14 19 28,0.7,1.000000 1.000000 1.000000 0.700000,0.000000 0.000000 -0.700000
confirmation,7,7,14 19 28,1.0,1.000000 0.800000 0.800000 1.000000,0.000000 0.000000 -1.000000
confirmation,8,8,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,9,9,14 19 28,0.8,1.000000 1.000000 1.000000 0.800000,0.000000 0.000000 -0.800000
confirmation,10,10,14 19 28,1.0,1.000000 0.900000 0.900000 1.000000,0.000000 0.000000 -1.000000
confirmation,11,11,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,12,12,14 19 28,0.7,1.000000 1.000000 1.000000 0.700000,0.000000 0.000000 -0.700000
confirmation,13,13,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,14,14,14 19 28,0.9,1.000000 0.900000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,15,15,14 19 28,0.7,1.000000 1.000000 1.000000 0.700000,0.000000 0.000000 -0.700000
confirmation,16,0,14 19 28,0.9,1.000000 0.900000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,17,1,14 19 28,0.8,1.000000 0.900000 0.900000 0.800000,0.000000 0.000000 -0.800000
confirmation,18,2,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,19,3,14 19 28,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,20,4,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,21,5,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,22,6,14 19 28,0.9,1.000000 1.000000 1.000000 0.900000,0.000000 0.000000 -0.900000
confirmation,23,7,14 19 28,1.0,1.000000 0.800000 0.800000 1.000000,0.000000 0.000000 -1.000000
confirmation,24,8,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,25,9,14 19 28,0.7,1.000000 1.000000 0.900000 0.700000,0.000000 0.000000 -0.700000
confirmation,26,10,14 19 28,1.0,1.000000 0.900000 0.900000 1.000000,0.000000 0.000000 -1.000000
confirmation,27,11,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
confirmation,28,12,14 19 28,0.7,1.000000 1.000000 1.000000 0.700000,0.000000 0.000000 -0.700000
confirmation,29,13,14 19 28,0.6,1.000000 1.000000 1.000000 0.600000,0.000000 0.000000 -0.600000
confirmation,30,14,14 19 28,0.9,1.000000 1.000000 0.900000 0.900000,0.000000 0.000000 -0.900000
confirmation,31,15,14 19 28,1.0,1.000000 1.000000 1.000000 1.000000,0.000000 0.000000 -1.000000
