theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
0,0,"[23, 24]","[3.2299155385416825, 4.265655010978336]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.9271537384498352,0.5972110163298395,0.36041834690023944,0.07356884835612831,0.26041834690023946,0.08120608888566494,0,0,0,nan,nan,9.242910891771317e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
1,1,"[23, 24]","[4.639190385174983, 7.046084710519995]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,5.979889217674202e-24,0.15,0.0737991239875555,0,0,0,nan,nan,3.2224925234913826e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
2,2,"[23, 24]","[3.6516130683544845, 4.4563312708227985]",1.0,0.3,0.7,1.0,False,False,False,True,4.848379284386246,-0.01845684063906701,True,True,1.0106809570403603,0.9946877420781026,0.44920314174081627,0.010904020816752576,0.14920314174081628,0.07278090203180909,0,0,0,nan,nan,3.2224925234913826e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
3,3,"[23, 24]","[6.925539988889338, 4.799091909000191]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,7.64268641405805e-17,-0.15000000000000002,0.07251339009962976,0,0,0,nan,nan,2.80898530036211e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
4,4,"[23, 24]","[2.975753147894429, 2.2816887482893065]",1.0,0.4,0.6,1.0,False,False,False,True,2.9696220675062928,-0.025230983616995065,True,True,2.578103922444265,0.4747482803293214,0.3260114429215477,0.12507945828409428,-0.07398855707845231,0.06975572602823377,0,0,0,nan,nan,2.864515408873558e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
5,5,"[23, 24]","[6.648373173404959, 2.39178200424742]",0.6,0.25,0.35,1.0,True,True,False,True,9.50739012527667,-0.14592898207337443,True,True,1.0000000000223002,0.9999999999888498,0.05000000000111501,3.339176043394136e-07,-0.199999999998885,0.06901538395322859,0,0,0,nan,nan,2.8079375624656677e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
6,6,"[23, 24]","[3.6945852517396327, 3.0154475993721617]",0.7,0.6,0.09999999999999998,1.0,True,True,False,True,3.8099811078601817,-0.18265218509163814,True,True,1.0093277843322053,0.9953597138359794,0.15094218365390885,0.014206013260030723,-0.4490578163460911,0.06296776793897152,0,0,0,nan,nan,3.1884992495179176e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
7,7,"[23, 24]","[4.995160486889762, 6.526561838156618]",1.0,0.6,0.4,1.0,False,False,False,True,9.123288688766664,-0.037471248633068444,True,True,1.0000000000001303,0.9999999999999347,0.44999999999998697,5.1065087960553804e-08,-0.150000000000013,0.06722335796803236,0,0,0,nan,nan,3.132503479719162e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
8,8,"[23, 24]","[6.483397063403305, 2.691831125241556]",0.6,0.1,0.5,1.0,True,True,False,True,7.546941317766077,-0.12253256195015293,True,True,1.0000000000000149,0.9999999999999925,0.050000000000000745,8.629296092104413e-09,-0.04999999999999926,0.07003035000525415,0,0,0,nan,nan,3.7795398384332657e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
9,9,"[23, 24]","[7.687895179862279, 2.8002056445752452]",0.8,0.35,0.45000000000000007,1.0,True,True,False,True,9.934056000092648,-0.0872675627664812,True,True,1.0000748737520162,0.9999625647860148,0.24999999681777946,1.7838779260503155e-05,-0.10000000318222052,0.06525601400062442,0,0,0,nan,nan,3.1550880521535873e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T2/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
