system,particle_count,support_seed,history_id,history_step,theta_id,selection_rule,ESS,normalized_ESS,max_weight,top1_mass,top5_mass,top10_mass,posterior_entropy,n_nonnegligible,weight_threshold,degeneracy_flag,u_cont,u_ctrl,u_quantile
ieee5,2048,101,-1,0,,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,-1,0,,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,-1,0,,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,-1,0,,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
ieee5,128,101,-1,0,,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.15,1.0,0.6
ieee5,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
ieee5,128,101,0,0,0,"permute(master,101)[:128]",128.0,1.0,0.0078125,0.0078125,0.0390625,0.078125,4.852030263919617,128,1e-06,stable_support,1.15,1.0,0.6
ieee5,2048,101,0,1,0,"permute(master,101)[:2048]",217.79706671974012,0.1063462239842481,0.006353626110371825,0.006353626110371825,0.03173274624882885,0.06326035102820857,5.550161635732263,519,1e-06,moderate_degeneracy,1.05,1.0,0.5
ieee5,1024,101,0,1,0,"permute(master,101)[:1024]",111.60806776346207,0.10899225367525593,0.012037663409043305,0.012037663409043305,0.059966681191509795,0.11932699188416657,4.853004128874429,264,1e-06,moderate_degeneracy,1.05,1.0,0.5
ieee5,512,101,0,1,0,"permute(master,101)[:512]",47.676086300087604,0.0931173560548586,0.03092993969151975,0.03092993969151975,0.15142671897279458,0.2980890349954533,4.035163113370471,132,1e-06,moderate_degeneracy,1.05,1.0,0.5
ieee5,256,101,0,1,0,"permute(master,101)[:256]",26.516885753575934,0.103581584974906,0.05758780834875685,0.05758780834875685,0.27771345415422,0.4967945669779823,3.4563904617421612,76,1e-06,moderate_degeneracy,1.15,1.0,0.6
ieee5,128,101,0,1,0,"permute(master,101)[:128]",14.147410094375486,0.11052664136230848,0.09951400850690209,0.09951400850690209,0.4725487947294666,0.7952428411312075,2.824675269859254,40,1e-06,moderate_degeneracy,1.15,1.0,0.6
ieee5,2048,101,0,2,0,"permute(master,101)[:2048]",19.594179824944053,0.009567470617648463,0.10779815569681839,0.10779815569681839,0.41767097594650227,0.6318397161723442,3.386736768912202,146,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,1024,101,0,2,0,"permute(master,101)[:1024]",10.65568852651404,0.010405945826673868,0.21228120016831697,0.21228120016831697,0.5723458569189849,0.8208342590586811,2.7628788381394473,74,1e-06,severe_degeneracy,1.15,1.0,0.6
ieee5,512,101,0,2,0,"permute(master,101)[:512]",2.3027479932748784,0.004497554674364997,0.6475389771551084,0.6475389771551084,0.8554857618224397,0.9598320246946936,1.5012253768320072,41,1e-06,severe_degeneracy,0.9,0.9,0.35
ieee5,256,101,0,2,0,"permute(master,101)[:256]",5.925399701200976,0.023146092582816313,0.24080914433306097,0.24080914433306097,0.8518375742820374,0.9809968695515068,2.0062499675132246,29,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,128,101,0,2,0,"permute(master,101)[:128]",3.985162808402096,0.031134084440641373,0.30397004207112166,0.30397004207112166,0.9918592945336819,0.9999920699593189,1.471025447849073,13,1e-06,severe_degeneracy,1.05,1.0,0.5
ieee5,2048,101,0,3,0,"permute(master,101)[:2048]",1.0000000041459725,0.0004882812520244006,0.9999999979270138,0.9999999979270138,1.0,1.0,4.352084730670858e-08,1,1e-06,severe_degeneracy,0.6000000000000001,0.6,0.05
ieee5,1024,101,0,3,0,"permute(master,101)[:1024]",1.0000000041459725,0.0009765625040488012,0.9999999979270138,0.9999999979270138,1.0,1.0,4.3520847306580204e-08,1,1e-06,severe_degeneracy,0.6000000000000001,0.6,0.05
ieee5,512,101,0,3,0,"permute(master,101)[:512]",1.001632385461108,0.0019563132528537266,0.9991844851112385,0.9991844851112385,1.0,1.0,0.006693335521531106,3,1e-06,severe_degeneracy,0.75,0.8,0.2
ieee5,256,101,0,3,0,"permute(master,101)[:256]",1.0,0.00390625,1.0,1.0,1.0,1.0,1.080240224683308e-24,1,1e-06,severe_degeneracy,0.75,0.8,0.2
ieee5,128,101,0,3,0,"permute(master,101)[:128]",1.0,0.0078125,1.0,1.0,1.0,1.0,1.0802402246524074e-24,1,1e-06,severe_degeneracy,0.75,0.8,0.2
ieee5,2048,101,0,0,0,"permute(master,101)[:2048]",2048.0,1.0,0.00048828125,0.00048828125,0.00244140625,0.0048828125,7.624618986159401,2048,1e-06,stable_support,1.15,1.0,0.6
ieee5,1024,101,0,0,0,"permute(master,101)[:1024]",1024.0,1.0,0.0009765625,0.0009765625,0.0048828125,0.009765625,6.931471805599454,1024,1e-06,stable_support,1.15,1.0,0.6
ieee5,512,101,0,0,0,"permute(master,101)[:512]",512.0,1.0,0.001953125,0.001953125,0.009765625,0.01953125,6.2383246250395095,512,1e-06,stable_support,1.15,1.0,0.6
ieee5,256,101,0,0,0,"permute(master,101)[:256]",256.0,1.0,0.00390625,0.00390625,0.01953125,0.0390625,5.545177444479562,256,1e-06,stable_support,1.15,1.0,0.6
